_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65db21),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""white bread"",""apple pie filling"",""melted butter"",""sugar"",""cinnamon""]",Spend with Pennies,Baked Apple Pie Roll Ups,"{""course"":[""Desserts"",""Lunch""]}",Baked-Apple-Pie-Roll-Ups-593599
ObjectId(58e5ee19a4e2980ece65db43),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.0,""bitter"":0.16666666666666666,""meaty"":0.8333333333333334}",4,1200,"[""boneless skinless chicken breasts"",""melted butter"",""kosher salt"",""cracked black pepper"",""garlic powder"",""paprika""]",Gimme Some Oven,Baked Chicken Breasts,"{""course"":[""Main Dishes""],""holiday"":[""Sunday Lunch""],""cuisine"":[""Kid-Friendly""]}",Baked-Chicken-Breasts-1118668
ObjectId(58e5ee19a4e2980ece65db91),"{""sweet"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""piquant"":0.0,""bitter"":0.5,""meaty"":0.16666666666666666}",4,2400,"[""eggplant"",""large eggs"",""seasoned bread crumbs"",""olive oil"",""garlic salt""]",Little B Cooks,Baked Eggplant,"{""cuisine"":[""Kid-Friendly""]}",Baked-Eggplant-1539190
ObjectId(58e5ee19a4e2980ece65dc0d),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.8333333333333334}",4,1800,"[""pitas"",""olive oil"",""dried rosemary"",""kosher salt""]",Bake Eat Repeat,Baked Rosemary Pita Chips,"{""course"":[""Lunch"",""Snacks""]}",Baked-Rosemary-Pita-Chips-1783061
ObjectId(58e5ee19a4e2980ece65dc64),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.5,""sweet"":0.0,""bitter"":0.3333333333333333,""meaty"":0.8333333333333334}",4,1500,"[""salmon fillets"",""dill weed"",""dried rosemary"",""parsley"",""salt"",""pepper"",""lemon""]",The Bitter Side of Sweet,Baked Herbed Salmon,"{""course"":[""Main Dishes""]}",Baked-Herbed-Salmon-1064708
ObjectId(58e5ee19a4e2980ece65dce9),,4,2700,"[""chicken breasts"",""seasoned bread crumbs"",""grated parmesan cheese"",""butter"",""reduced fat mozzarella"",""marinara sauce"",""cooking spray""]",Skinnytaste,Baked Chicken Parmesan,"{""course"":[""Lunch"",""Main Dishes""],""cuisine"":[""Kid-Friendly""]}",Baked-Chicken-Parmesan-1571414
ObjectId(58e5ee19a4e2980ece65dd36),,5,3600,"[""milk"",""active dry yeast"",""butter"",""sugar"",""eggs"",""all-purpose flour"",""nutmeg"",""fine sea salt"",""unsalted butter"",""cinnamon""]",101 Cookbooks,Baked Doughnuts,"{""course"":[""Breakfast and Brunch"",""Breads""]}",Baked-doughnuts-308997
ObjectId(58e5ee19a4e2980ece65dd37),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.0,""sweet"":0.5,""bitter"":0.0,""meaty"":0.0}",4,7500,"[""apples"",""fresh lemon juice"",""cinnamon""]",The Endless Meal,Baked Apple Chips,"{""course"":[""Desserts"",""Lunch"",""Snacks""]}",Baked-Apple-Chips-1069913
ObjectId(58e5ee19a4e2980ece65dd87),"{""piquant"":0.0,""sour"":0.5,""salty"":0.0,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1500,"[""bananas"",""honey"",""cinnamon""]",Skinnytaste,Baked Bananas,"{""course"":[""Desserts"",""Lunch""]}",Baked-Bananas-1591231
ObjectId(58e5ee19a4e2980ece65dd97),,4,2400,"[""salmon fillets"",""olive oil"",""salt"",""freshly ground black pepper"",""grape tomatoes"",""shallots"",""fresh lemon juice"",""dried oregano"",""dried thyme""]",Fit Fun Delish,Baked Salmon,"{""course"":[""Main Dishes""]}",Baked-Salmon-1771311
ObjectId(58e5ee19a4e2980ece65ddc7),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2100,"[""water"",""sugar"",""salt"",""vegetable oil"",""all-purpose flour"",""ground cinnamon"",""butter""]",The Semisweet Sisters,Baked Churros,"{""course"":[""Desserts"",""Breads""]}",Baked-Churros-1530937
ObjectId(58e5ee19a4e2980ece65ddeb),"{""piquant"":0.3333333333333333,""sour"":1.0,""salty"":1.0,""sweet"":1.0,""bitter"":1.0,""meaty"":1.0}",4,86820,"[""black cod fillets"",""honey"",""low sodium soy sauce"",""toasted sesame oil"",""apple cider vinegar"",""freshly ground pepper"",""ginger""]","No Gojis, No Glory",Baked Honey-Marinated Cod,"{""cuisine"":[""Kid-Friendly""]}",Baked-Honey-Marinated-Cod-755667
ObjectId(58e5ee19a4e2980ece65ddfe),,3,3000,"[""olive oil"",""garlic"",""dry bread crumbs"",""parmesan cheese"",""dried basil"",""black pepper"",""chicken""]",BigOven,Baked Garlic Parmesan Chicken,"{""course"":[""Main Dishes""],""cuisine"":[""Italian""]}",Baked-Garlic-Parmesan-Chicken-1032476
ObjectId(58e5ee19a4e2980ece65de88),,4,3000,"[""lean ground beef"",""yellow onion"",""pasta sauce"",""Philadelphia Cream Cheese"",""cream cheese"",""shredded mozzarella cheese"",""penn pasta, cook and drain""]",Life in the Lofthouse,Baked Penne,"{""course"":[""Main Dishes""],""cuisine"":[""Kid-Friendly""]}",Baked-Penne-980191
ObjectId(58e5ee19a4e2980ece65debd),,4,3000,"[""lean ground beef"",""yellow onion"",""pasta sauce"",""Philadelphia Cream Cheese"",""cream cheese"",""shredded mozzarella cheese"",""penn pasta, cook and drain""]",Life in the Lofthouse,Baked Penne,"{""course"":[""Main Dishes""],""cuisine"":[""Kid-Friendly""]}",Baked-Penne-980191
ObjectId(58e5ee19a4e2980ece65def5),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,1020,"[""salmon fillets"",""garlic"",""chopped parsley"",""parmesan cheese""]",Add a Pinch,Baked Salmon with Parmesan Herb Crust,"{""course"":[""Main Dishes""]}",Baked-Salmon-with-Parmesan-Herb-Crust-1545516
ObjectId(58e5ee19a4e2980ece65df07),"{""piquant"":0.6666666666666666,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,2400,"[""beets"",""extra-virgin olive oil"",""salt"",""freshly ground pepper"",""fresh rosemary"",""fresh thyme""]",Paleo Grubs,Baked Beet Chips,"{""course"":[""Snacks""]}",Baked-Beet-Chips-1118379
ObjectId(58e5ee19a4e2980ece65df3b),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.0,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,8400,"[""bananas"",""lemon juice""]",Naturally Ella,Baked Banana Chips,"{""course"":[""Lunch"",""Snacks""]}",Baked-Banana-Chips-1277860
ObjectId(58e5ee19a4e2980ece65df7e),,5,1200,"[""crimini mushrooms"",""olive oil"",""ground black pepper"",""salt"",""eggs"",""freshly grated parmesan"",""chopped parsley"",""whole wheat toast""]",Kalyn's Kitchen,Baked Eggs with Mushrooms and Parmesan,"{""course"":[""Lunch"",""Breakfast and Brunch""]}",Baked-eggs-with-mushrooms-and-parmesan-314513
ObjectId(58e5ee19a4e2980ece65dfc7),"{""piquant"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""sweet"":0.0,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,5700,"[""baking potatoes"",""coarse salt"",""ground pepper"",""olive oil""]",Our Crafty Kitchen,Baked Potato,"{""course"":[""Side Dishes""]}",Baked-Potato-1065661
ObjectId(58e5ee19a4e2980ece65dfc8),"{""piquant"":0.5,""sour"":0.5,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.6666666666666666}",4,2400,"[""boneless skinless chicken breasts"",""fresh lime juice"",""fresh cilantro"",""dijon mustard"",""olive oil"",""chili powder"",""sea salt"",""pepper""]",Elana's Pantry,Baked Mustard Lime Chicken,"{""course"":[""Main Dishes""]}",Baked-Mustard-Lime-Chicken-1561156
ObjectId(58e5ee19a4e2980ece65dfd2),,5,1200,"[""crimini mushrooms"",""olive oil"",""ground black pepper"",""salt"",""eggs"",""freshly grated parmesan"",""chopped parsley"",""whole wheat toast""]",Kalyn's Kitchen,Baked Eggs with Mushrooms and Parmesan,"{""course"":[""Lunch"",""Breakfast and Brunch""]}",Baked-eggs-with-mushrooms-and-parmesan-314513
ObjectId(58e5ee19a4e2980ece65e045),,4,1800,"[""panko"",""grated parmesan cheese"",""kosher salt"",""ground black pepper"",""asparagus"",""all-purpose flour"",""large eggs""]",Damn Delicious,Baked Asparagus Fries,"{""course"":[""Side Dishes""],""cuisine"":[""Kid-Friendly""]}",Baked-Asparagus-Fries-998710
ObjectId(58e5ee19a4e2980ece65e062),,5,3900,"[""boneless skinless chicken breasts"",""salt"",""ground black pepper"",""basil pesto"",""part-skim mozzarella cheese""]",Kalyn's Kitchen,Baked Pesto Chicken,"{""course"":[""Main Dishes""],""cuisine"":[""Italian""]}",Baked-pesto-chicken-309449
ObjectId(58e5ee19a4e2980ece65e099),,4,3000,"[""ragu old world style pasta sauc"",""part-skim mozzarella cheese"",""vegetables"",""8 ounc ziti pasta, cook and drain"",""grated parmesan cheese""]",Mizkan Brand,Baked Pasta Primavera Casserole,"{""course"":[""Main Dishes""]}",Baked-pasta-primavera-casserole-300138
ObjectId(58e5ee19a4e2980ece65e0ff),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",5,4200,"[""olive oil"",""tomato sauce"",""fresh basil leaves"",""shells"",""mozzarella cheese"",""grated parmesan cheese"",""pepper"",""salt"",""onions"",""garlic"",""tomatoes""]",Big Girls Small Kitchen,Baked Shells with Tomato and Mozzarella,"{""course"":[""Main Dishes""],""cuisine"":[""Italian""]}",Baked-shells-with-tomato-and-mozzarella-310024
ObjectId(58e5ee19a4e2980ece65e104),,5,3000,"[""pizza doughs"",""pepperoni slices"",""mozzarella cheese"",""oil"",""grated parmesan cheese"",""pizza sauce""]",Jo Cooks,Baked or Fried Pizza Balls,"{""course"":[""Appetizers"",""Lunch""],""cuisine"":[""Kid-Friendly""]}",Baked-or-Fried-Pizza-Balls-439590
ObjectId(58e5ee19a4e2980ece65e161),"{""piquant"":0.5,""sour"":0.5,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.6666666666666666}",4,2400,"[""boneless skinless chicken breasts"",""fresh lime juice"",""fresh cilantro"",""dijon mustard"",""olive oil"",""chili powder"",""sea salt"",""pepper""]",Elana's Pantry,Baked Mustard Lime Chicken,"{""course"":[""Main Dishes""]}",Baked-Mustard-Lime-Chicken-1561156
