_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65ddd0),,4,2100,"[""cheese"",""egg roll wrappers"",""pepperoni"",""oil"",""marinara sauce""]",Noble Pig,Fried Mozzarella-Pepperoni Sticks,"{""course"":[""Appetizers"",""Lunch""]}",Fried-Mozzarella-Pepperoni-Sticks-1455953
ObjectId(58e5ee19a4e2980ece65dfaf),"{""sweet"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,1500,"[""all-purpose flour"",""baking powder"",""kosher salt"",""unsalted butter"",""warm water"",""vegetable oil""]",Good Food Stories,Fried Dough,{},Fried-Dough-1067189
ObjectId(58e5ee19a4e2980ece65dfe3),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.8333333333333334,""bitter"":0.16666666666666666,""meaty"":0.3333333333333333}",4,1200,"[""plantains"",""vegetable oil"",""kosher salt"",""honey""]",Culinary Inspiration,Fried Sweet Plantain,{},Fried-Sweet-Plantain-1050142
ObjectId(58e5ee19a4e2980ece65e2fc),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",5,2100,"[""green beans"",""flour"",""milk"",""panko"",""garlic powder"",""oregano"",""oil""]",Naturally Ella,Fried Green Beans,"{""course"":[""Side Dishes""]}",Fried-Green-Beans-Naturally-Ella-46515
ObjectId(58e5ee19a4e2980ece65e38c),,3,2100,"[""green tomatoes"",""salt"",""freshly ground black pepper"",""all-purpose flour"",""eggs"",""dry bread crumbs"",""canola oil""]",The Southern Weekend,Fried Green Tomatoes,"{""course"":[""Side Dishes"",""Lunch""],""cuisine"":[""Southern \u0026 Soul Food""]}",Fried-Green-Tomatoes-1531054
ObjectId(58e5ee1aa4e2980ece65e3d6),"{""sweet"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.0,""piquant"":0.5,""bitter"":0.16666666666666666,""meaty"":0.8333333333333334}",4,,"[""halloumi"",""olive oil"",""black pepper"",""red pepper flakes""]",David Lebovitz,Fried Halloumi Cheese,{},Fried-Halloumi-Cheese-1850654
ObjectId(58e5ee1aa4e2980ece65e42c),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.3333333333333333,""sweet"":0.8333333333333334,""bitter"":0.3333333333333333,""meaty"":0.5}",4,2700,"[""vanilla ice cream"",""Marie biscuits"",""eggs"",""cinnamon"",""oil"",""whipped cream""]",HalaalRecipes,Fried Ice Cream,"{""course"":[""Desserts""]}",Fried-Ice-Cream-1083517
ObjectId(58e5ee1aa4e2980ece65e4f7),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.16666666666666666,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""butter"",""apples"",""brown sugar"",""cinnamon""]","Chocolate, Chocolate and More",Fried Apples,"{""course"":[""Desserts""]}",Fried-Apples-1073544
ObjectId(58e5ee1aa4e2980ece65e62c),"{""piquant"":0.0,""sour"":0.5,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",3,3000,"[""small red potatoes"",""salt"",""olive oil"",""ground black pepper"",""grated parmesan cheese"",""flat leaf parsley""]",Better Homes and Gardens,Fried Smashed Potatoes,"{""course"":[""Side Dishes""]}",Fried-Smashed-Potatoes-803579
ObjectId(58e5ee1aa4e2980ece65e9de),"{""piquant"":0.0,""sour"":0.5,""salty"":0.0,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1500,"[""bananas"",""honey"",""cinnamon"",""olive oil""]",Rachel Schultz,Fried Honey Banana,"{""course"":[""Desserts"",""Lunch""]}",Fried-Honey-Banana-1717686
