_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65dba1),,5,4800,"[""cooked bone in ham"",""whole cloves"",""brown sugar"",""spicy brown mustard"",""Dr. Pepper®"",""apple cider vinegar""]",The Pioneer Woman,Glazed Easter Ham,"{""course"":[""Main Dishes""],""holiday"":[""Easter"",""Christmas""]}",Glazed-easter-ham-352702
ObjectId(58e5ee1aa4e2980ece65e491),"{""sweet"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",3,2100,"[""unsalted butter"",""fresh parsley leaves"",""sugar"",""radishes"",""salt""]",BigOven,Glazed Radishes,{},Glazed-Radishes-1159654
ObjectId(58e5ee1aa4e2980ece65e7f4),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,1500,"[""salmon fillets"",""low sodium soy sauce"",""brown sugar"",""dijon mustard"",""olive oil""]",Food Huntress,Glazed Salmon,"{""course"":[""Main Dishes""]}",Glazed-Salmon-1440609
ObjectId(58e5ee1aa4e2980ece65e8f8),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""light brown sugar"",""butter"",""Hidden Valley® Original Ranch Salad® Dressing \u0026 Seasoning Mix"",""baby carrots""]",Hidden Valley Brand,Glazed Baby Carrots,"{""course"":[""Side Dishes""]}",Glazed-Baby-Carrots-600962
ObjectId(58e5ee1aa4e2980ece65eafe),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.6666666666666666,""sweet"":0.8333333333333334,""bitter"":0.16666666666666666,""meaty"":0.3333333333333333}",4,2700,"[""all-purpose flour"",""granulated sugar"",""salt"",""butter"",""large eggs"",""lemon juice"",""lemon zest"",""powdered sugar"",""fresh lemon juice""]",Life in the Lofthouse,Glazed Lemon Brownies,"{""course"":[""Desserts""]}",Glazed-Lemon-Brownies-1149497
ObjectId(58e5ee1aa4e2980ece65eb50),,4,12000,"[""meat bones"",""whole cloves"",""brown sugar"",""spicy brown mustard"",""Dr. Pepper®"",""apple cider vinegar""]",The Pioneer Woman,Glazed Easter Ham,"{""course"":[""Main Dishes""],""holiday"":[""Christmas"",""Easter""]}",Glazed-Easter-Ham-2050277
ObjectId(58e5ee1aa4e2980ece65f2dc),"{""sweet"":0.8333333333333334,""sour"":0.3333333333333333,""salty"":0.3333333333333333,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.5}",4,4500,"[""flour"",""baking powder"",""baking soda"",""salt"",""unsalted butter"",""sugar"",""eggs"",""lemon zest"",""fresh lemon juice"",""sour cream"",""vanilla"",""powdered sugar""]",Fake Ginger,Glazed Lemon Bread,"{""course"":[""Afternoon Tea"",""Breads""]}",Glazed-Lemon-Bread-1513862
ObjectId(58e5ee1aa4e2980ece65f715),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.6666666666666666,""bitter"":0.5,""meaty"":0.5}",5,4500,"[""butter"",""granulated sugar"",""honey"",""eggs"",""lemon zest"",""whole milk"",""salt"",""flour"",""ground cardamom"",""baking powder"",""lemon juice"",""sugar""]",Simply Recipes,Glazed Lemon Bread,"{""course"":[""Breads""]}",Glazed-Lemon-Bread-Simply-Recipes-42627
ObjectId(58e5ee1aa4e2980ece65f970),,4,6300,"[""all-purpose flour"",""unsalted butter"",""sugar"",""ice water"",""eggs"",""salt"",""strawberries"",""apricot jam"",""large egg yolks"",""milk"",""corn starch"",""heavy cream"",""pure vanilla extract""]",12Tomatoes,Glazed Strawberry Cream Tart,"{""course"":[""Desserts""]}",Glazed-Strawberry-Cream-Tart-1490791
ObjectId(58e5ee1aa4e2980ece65f9ad),,4,6300,"[""all-purpose flour"",""unsalted butter"",""sugar"",""ice water"",""eggs"",""salt"",""strawberries"",""apricot jam"",""large egg yolks"",""milk"",""corn starch"",""heavy cream"",""pure vanilla extract""]",12Tomatoes,Glazed Strawberry Cream Tart,"{""course"":[""Desserts""]}",Glazed-Strawberry-Cream-Tart-1490791
