_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65db44),"{""piquant"":0.8333333333333334,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",5,1800,"[""olive oil"",""refrigerated pizza dough"",""salsa"",""spanish chorizo"",""yellow peppers"",""KRAFT Shredded Triple Cheddar Cheese with a TOUCH OF PHILADELPHIA""]",Kraft Natural Cheese Brand,Grilled Spanish Flatbread,"{""cuisine"":[""Barbecue""]}",Grilled-Spanish-Flatbread-1041955
ObjectId(58e5ee19a4e2980ece65dbc0),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.3333333333333333}",4,1200,"[""plain greek yogurt"",""fresh dill"",""capers"",""mayonnaise"",""lemon juice"",""garlic cloves"",""salt"",""black pepper"",""salmon"",""vegetable oil""]",Hamilton Beach,Grilled Salmon with Yogurt Lemon Caper Sauce,"{""course"":[""Main Dishes""],""cuisine"":[""Barbecue""]}",Grilled-Salmon-with-Yogurt-Lemon-Caper-Sauce-2049110
ObjectId(58e5ee19a4e2980ece65dc21),,3,1800,"[""yukon gold potatoes"",""sea salt"",""fresh rosemary"",""large garlic cloves"",""extra-virgin olive oil"",""ground black pepper"",""coarse sea salt""]",Food & Style,"Grilled Potatoes With Rosemary, Garlic And Coarse Sea Salt","{""course"":[""Side Dishes""],""cuisine"":[""Barbecue""]}",Grilled-Potatoes-With-Rosemary_-Garlic-And-Coarse-Sea-Salt-1019933
ObjectId(58e5ee19a4e2980ece65dc29),"{""piquant"":0.0,""sour"":0.0,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,1200,"[""white bread"",""cheddar cheese"",""unsalted butter""]",Damn Delicious,Grilled Cheese Roll Ups,"{""course"":[""Lunch"",""Snacks""]}",Grilled-Cheese-Roll-Ups-1593324
ObjectId(58e5ee19a4e2980ece65ddde),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.0,""sweet"":0.8333333333333334,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1200,"[""honey"",""olive oil"",""fresh lime juice"",""ground cinnamon"",""pineapple slices""]",Skinnytaste,Grilled Pineapple,"{""cuisine"":[""Barbecue""]}",Grilled-Pineapple-1693779
ObjectId(58e5ee19a4e2980ece65de50),"{""piquant"":0.3333333333333333,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.6666666666666666}",4,4500,"[""olive oil"",""soy sauce"",""garlic"",""black pepper"",""sirloin steak"",""red bell pepper"",""orange bell pepper"",""green bell pepper"",""purple onion""]",Life in the Lofthouse,Grilled Steak Kebabs,"{""course"":[""Main Dishes""],""cuisine"":[""Barbecue""]}",Grilled-Steak-Kebabs-1202201
ObjectId(58e5ee19a4e2980ece65de9c),"{""piquant"":0.3333333333333333,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.6666666666666666}",4,4500,"[""olive oil"",""soy sauce"",""garlic"",""black pepper"",""sirloin steak"",""red bell pepper"",""orange bell pepper"",""green bell pepper"",""purple onion""]",Life in the Lofthouse,Grilled Steak Kebabs,"{""course"":[""Main Dishes""],""cuisine"":[""Barbecue""]}",Grilled-Steak-Kebabs-1202201
ObjectId(58e5ee19a4e2980ece65df5c),,4,1500,"[""boneless chicken breast"",""black pepper"",""mozzarella cheese"",""butter"",""Franks Hot Sauce"",""celery salt""]",Peanut Butter and Peppers,Grilled Cheesy Buffalo Chicken,"{""course"":[""Main Dishes""],""cuisine"":[""Barbecue""]}",Grilled-Cheesy-Buffalo-Chicken-761335
ObjectId(58e5ee19a4e2980ece65e0b1),,4,1500,"[""Italian bread"",""large garlic cloves"",""mozzarella cheese"",""plum tomatoes"",""fresh basil"",""garlic pepper seasoning"",""extra-virgin olive oil""]",Full Fork Ahead,Grilled Margherita Sandwiches,"{""course"":[""Lunch""],""cuisine"":[""Barbecue"",""Italian""]}",Grilled-Margherita-Sandwiches-589845
ObjectId(58e5ee19a4e2980ece65e1b7),"{""piquant"":0.3333333333333333,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",5,1500,"[""deveined shrimp"",""salt"",""black pepper"",""smoked paprika"",""garlic"",""melted butter""]",How Sweet It Is,Grilled Garlic Butter Shrimp,"{""course"":[""Main Dishes""],""cuisine"":[""Barbecue""]}",Grilled-garlic-butter-shrimp-333882
ObjectId(58e5ee19a4e2980ece65e1d8),,4,1380,"[""lime"",""molasses"",""jalapeno chilies"",""skin on salmon fillets"",""salt and ground black pepper"",""vegetable oil""]",Foxes Love Lemons,Grilled Salmon with Sweet Jalapeño Glaze,"{""course"":[""Main Dishes""],""cuisine"":[""Barbecue""]}",Grilled-Salmon-with-Sweet-Jalapeno-Glaze-1249753
ObjectId(58e5ee19a4e2980ece65e2ad),"{""piquant"":0.16666666666666666,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,1500,"[""salmon fillets"",""salt"",""pepper"",""butter"",""lemon juice"",""chopped parsley"",""black pepper"",""white pepper""]",Texas Roadhouse Home,Grilled Salmon,"{""course"":[""Main Dishes""]}",Grilled-Salmon-1563947
ObjectId(58e5ee1aa4e2980ece65e3c6),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.6666666666666666}",3,3600,"[""guajillo"",""crushed red pepper flakes"",""chopped fresh cilantro"",""fresh oregano"",""lime zest"",""olive oil"",""kosher salt"",""freshly ground pepper"",""chicken"",""lime wedges""]",Bon Appétit,Grilled Chicken with Board Dressing,"{""course"":[""Main Dishes""],""holiday"":[""Summer""],""cuisine"":[""Barbecue""]}",Grilled-Chicken-with-Board-Dressing-1898178
ObjectId(58e5ee1aa4e2980ece65e3cf),"{""piquant"":0.0,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2400,"[""small red potatoes"",""kosher salt"",""extra-virgin olive oil"",""dried rosemary"",""black pepper""]",Panini Happy,Grilled Smashed Potatoes,"{""course"":[""Side Dishes""],""cuisine"":[""Barbecue""]}",Grilled-Smashed-Potatoes-1225683
ObjectId(58e5ee1aa4e2980ece65e438),"{""piquant"":0.6666666666666666,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,600,"[""whole grain bread"",""provolone cheese"",""Tabasco Pepper Sauce"",""pesto sauce"",""spinach"",""olive oil""]",Eat Good 4 Life,Grilled Cheese And Spinach Sandwich,"{""course"":[""Lunch""],""cuisine"":[""Barbecue""]}",Grilled-Cheese-And-Spinach-Sandwich-974704
ObjectId(58e5ee1aa4e2980ece65e515),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.0,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",3,1140,"[""lobster tails"",""olive oil"",""fresh lemon juice"",""fresh dill"",""salt"",""black pepper""]",Barbecues and Grilling About.com,Grilled Lobster Tails,"{""course"":[""Main Dishes""],""holiday"":[""Summer""],""cuisine"":[""Barbecue""]}",Grilled-Lobster-Tails-1564516
ObjectId(58e5ee1aa4e2980ece65e5b7),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.0,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",3,1140,"[""lobster tails"",""olive oil"",""fresh lemon juice"",""fresh dill"",""salt"",""black pepper""]",Barbecues and Grilling About.com,Grilled Lobster Tails,"{""course"":[""Main Dishes""],""holiday"":[""Summer""],""cuisine"":[""Barbecue""]}",Grilled-Lobster-Tails-1564516
ObjectId(58e5ee1aa4e2980ece65e64f),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",5,2700,"[""flank steak"",""salt"",""olive oil"",""black pepper"",""mixed mushrooms"",""butter"",""shallots"",""red wine"",""fresh rosemary""]",Simply Recipes,Grilled Flank Steak with Mushrooms,"{""course"":[""Main Dishes""],""cuisine"":[""Barbecue""]}",Grilled-Flank-Steak-with-Mushrooms-Simply-Recipes-42406
ObjectId(58e5ee1aa4e2980ece65e6a8),"{""piquant"":0.0,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.5}",5,600,"[""asparagus"",""extra-virgin olive oil"",""salt"",""grated parmesan cheese""]",Kalyn's Kitchen,Grilled Asparagus with Parmesan,"{""course"":[""Side Dishes""],""cuisine"":[""Barbecue""]}",Grilled-asparagus-with-parmesan-309884
ObjectId(58e5ee1aa4e2980ece65e6d8),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",5,900,"[""asparagus"",""roasted garlic"",""olive oil"",""balsamic vinegar"",""honey"",""pepper"",""salt""]",How Sweet It Is,Grilled Asparagus with Roasted Garlic Vinegarette,"{""course"":[""Side Dishes""],""cuisine"":[""Barbecue""]}",Grilled-asparagus-with-roasted-garlic-vinegarette-333996
ObjectId(58e5ee1aa4e2980ece65e77c),,4,1800,"[""meat bones"",""chips"",""salt"",""paprika"",""poultry seasoning"",""garlic powder"",""pepper""]",101 Cooking for Two,Grilled Paprika-Garlic Bone-in Skin-on (Split) Chicken Breast for Two,"{""course"":[""Main Dishes""],""cuisine"":[""Barbecue""]}",Grilled-Paprika-Garlic-Bone-in-Skin-on-_Split_-Chicken-Breast-for-Two-2052786
