_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65db5e),,4,2400,"[""portabello mushroom"",""salt"",""freshly ground pepper"",""plain dry bread crumb"",""grated parmesan cheese"",""fresh parsley"",""virgin olive oil""]",Eating Well,Roasted Portobello Caps,{},Roasted-Portobello-Caps-1937509
ObjectId(58e5ee19a4e2980ece65db64),,5,2400,"[""cauliflower"",""extra-virgin olive oil"",""red pepper flakes"",""salt"",""ground black pepper""]",Kalyn's Kitchen,Roasted Spicy Cauliflower,"{""course"":[""Side Dishes""],""holiday"":[""Sunday Lunch""],""cuisine"":[""American"",""Indian""]}",Roasted-spicy-cauliflower-309859
ObjectId(58e5ee19a4e2980ece65dbff),"{""piquant"":0.0,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,3300,"[""red potato"",""cheddar cheese"",""spring onions"",""salt"",""ground black pepper"",""olive oil""]",Home Cooking Adventure,Roasted Potato and Cheese Tater Tots,"{""course"":[""Side Dishes"",""Lunch""]}",Roasted-Potato-and-Cheese-Tater-Tots-1760502
ObjectId(58e5ee19a4e2980ece65dc19),"{""piquant"":0.0,""sour"":0.5,""salty"":0.16666666666666666,""sweet"":0.5,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,3600,"[""bananas"",""dates"",""vanilla extract"",""coconut oil"",""coconut milk""]",Elana's Pantry,Roasted Banana Coconut Ice Cream,"{""course"":[""Desserts""]}",Roasted-Banana-Coconut-Ice-Cream-1522373
ObjectId(58e5ee19a4e2980ece65dc3a),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.3333333333333333,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,1800,"[""sweet potatoes"",""olive oil"",""kosher salt"",""freshly ground black pepper"",""chili powder""]",Add a Pinch,Roasted Sweet Potato Wedges,"{""course"":[""Side Dishes""],""holiday"":[""Sunday Lunch""]}",Roasted-Sweet-Potato-Wedges-1643562
ObjectId(58e5ee19a4e2980ece65dc3c),,4,2100,"[""pumpkin"",""salt"",""olive oil"",""garlic powder"",""ground cinnamon"",""crumbled blue cheese"",""balsamic vinegar""]",12Tomatoes,Roasted Pumpkin Fries,{},Roasted-Pumpkin-Fries-1902807
ObjectId(58e5ee19a4e2980ece65dc49),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.3333333333333333,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.16666666666666666}",4,1800,"[""broccoli florets"",""garlic"",""extra-virgin olive oil"",""kosher salt"",""pepper""]",Skinnytaste,Roasted Broccoli with Smashed Garlic,"{""course"":[""Side Dishes""],""holiday"":[""Sunday Lunch""]}",Roasted-Broccoli-with-Smashed-Garlic-1571574
ObjectId(58e5ee19a4e2980ece65dcb5),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,3900,"[""beets"",""balsamic vinegar"",""olive oil"",""sea salt""]",Elana's Pantry,Roasted Balsamic Beets,"{""course"":[""Side Dishes""],""holiday"":[""Sunday Lunch""]}",Roasted-Balsamic-Beets-1565524
ObjectId(58e5ee19a4e2980ece65de0f),,4,2700,"[""mushrooms"",""fresh green beans"",""olive oil"",""balsamic vinegar"",""salt"",""freshly ground black pepper"",""grated parmesan cheese""]",Easy Recipes and Healthy Eating,"Roasted Green Beans with Mushrooms, Balsamic, and Parmesan","{""course"":[""Side Dishes""]}",Roasted-Green-Beans-with-Mushrooms_-Balsamic_-and-Parmesan-1531747
ObjectId(58e5ee19a4e2980ece65de57),,4,2100,"[""grapeseed oil"",""balsamic vinegar"",""herbes de provence"",""grapes"",""Italian-style bread"",""unsalted butter"",""part-skim ricotta cheese"",""fontina cheese"",""kosher salt"",""cracked black pepper"",""chopped parsley""]",Comfortably Domestic,Roasted Grapes Crostini,"{""course"":[""Appetizers"",""Lunch""]}",Roasted-Grapes-Crostini-1987885
ObjectId(58e5ee19a4e2980ece65de78),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2100,"[""yellow squash"",""olive oil"",""grated parmesan cheese"",""black pepper""]",Snack Girl,Roasted Summer Squash,"{""course"":[""Side Dishes""]}",Roasted-Summer-Squash-1621848
ObjectId(58e5ee19a4e2980ece65df3f),,4,3600,"[""brussels sprouts"",""olive oil"",""garlic"",""balsamic vinegar"",""kosher salt"",""cracked black pepper"",""parmesan cheese""]",Best Recipe Box,Roasted Brussels Sprouts with Parmesan & Garlic,"{""course"":[""Side Dishes""],""holiday"":[""Sunday Lunch""]}",Roasted-Brussels-Sprouts-with-Parmesan-_-Garlic-2047960
ObjectId(58e5ee19a4e2980ece65df6f),"{""sweet"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,5100,"[""garlic"",""olive oil"",""salt"",""pepper""]",Good Food Stories,Roasted Garlic,{},Roasted-Garlic-1088423
ObjectId(58e5ee19a4e2980ece65df77),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",5,3600,"[""red beets"",""purple onion"",""extra-virgin olive oil"",""vinegar"",""salt"",""cumin"",""pepper""]",Tori Avey,Roasted Beet and Red Onion Salad,"{""course"":[""Salads""]}",Roasted-beet-and-red-onion-salad-314481
ObjectId(58e5ee19a4e2980ece65dff4),"{""sweet"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",5,2700,"[""radishes"",""extra-virgin olive oil"",""lemon"",""salt"",""pepper""]",Spoon Fork Bacon,Roasted Radishes,"{""holiday"":[""Sunday Lunch""]}",Roasted-radishes-357672
ObjectId(58e5ee19a4e2980ece65e06e),,4,1800,"[""beef bones"",""garlic"",""thyme"",""salt"",""pepper""]",Gastronomical Wayfaring,Roasted Bone Marrow,{},Roasted-Bone-Marrow-933078
ObjectId(58e5ee19a4e2980ece65e087),,4,1200,"[""head cauliflower"",""garlic cloves"",""broth"",""grated parmesan cheese"",""salt""]",Crunchy Creamy Sweet,Roasted Garlic Cauliflower Alfredo Sauce,"{""course"":[""Condiments and Sauces""]}",Roasted-Garlic-Cauliflower-Alfredo-Sauce-1219382
ObjectId(58e5ee19a4e2980ece65e1a1),"{""piquant"":0.0,""sour"":0.5,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",4,3300,"[""red potato"",""garlic powder"",""basil"",""sea salt"",""pepper"",""olive oil""]",Build Your Bite,Roasted Garlic Baby Red Potatoes,"{""course"":[""Side Dishes""],""holiday"":[""Sunday Lunch""]}",Roasted-Garlic-Baby-Red-Potatoes-1511218
ObjectId(58e5ee19a4e2980ece65e24a),,4,1500,"[""sweet potatoes"",""pure maple syrup"",""salt"",""pecans"",""laughing cow cheese""]",Food Faith Fitness,Roasted Sweet Potato Pie Bites {4 Ingredients},{},Roasted-Sweet-Potato-Pie-Bites-_4-Ingredients_-1368258
ObjectId(58e5ee19a4e2980ece65e288),,4,3000,"[""cauliflower"",""avocado oil"",""sea salt"",""lime"",""chopped cilantro"",""ground cumin"",""black pepper""]",Bare Root,Roasted Cauliflower Rice with Cilantro & Lime,"{""course"":[""Side Dishes""]}",Roasted-Cauliflower-Rice-with-Cilantro-_-Lime-1235620
ObjectId(58e5ee19a4e2980ece65e2c4),,4,2400,"[""zucchini"",""yellow squash"",""tomatoes"",""olive oil"",""garlic"",""italian seasoning"",""salt"",""freshly ground black pepper"",""shredded parmesan cheese"",""dried parsley""]",Cooking Classy,"Roasted Garlic-Parmesan Zucchini, Squash and Tomatoes","{""course"":[""Side Dishes""]}",Roasted-Garlic-Parmesan-Zucchini_-Squash-and-Tomatoes-1924014
ObjectId(58e5ee19a4e2980ece65e2c8),,4,1500,"[""cod"",""garlic cloves"",""fresh mint"",""fresh parsley"",""fresh cilantro"",""fresh lemon"",""olive oil"",""salt"",""pepper""]",Tasting Page,Roasted Cod with Mint Chimichurri,"{""course"":[""Main Dishes""]}",Roasted-Cod-with-Mint-Chimichurri-2041901
ObjectId(58e5ee19a4e2980ece65e2e1),,4,2400,"[""fiddlehead ferns"",""lemon"",""olive oil"",""cracked black pepper"",""salt free seasoning"",""herbs""]",Homemade and Yummy,Roasted Fiddlehead Ferns,{},Roasted-Fiddlehead-Ferns-1717993
ObjectId(58e5ee1aa4e2980ece65e3b8),,4,2700,"[""olive oil"",""red wine vinegar"",""soy sauce"",""shallots"",""sea salt"",""freshly ground black pepper"",""chicken"",""flat leaf parsley""]",David Lebovitz,Roast Chicken with Caramelized Shallots,"{""course"":[""Main Dishes""],""holiday"":[""Sunday Lunch""]}",Roast-Chicken-with-Caramelized-Shallots-1905478
ObjectId(58e5ee1aa4e2980ece65e3cd),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.0,""sweet"":0.0,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,3600,"[""acorn squash"",""coconut oil""]",Elana's Pantry,Roasted Acorn Squash,"{""course"":[""Side Dishes""]}",Roasted-Acorn-Squash-2000613
ObjectId(58e5ee1aa4e2980ece65e3fd),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,3600,"[""head cauliflower"",""salt"",""pepper"",""extra-virgin olive oil"",""onions"",""celery"",""vegetable broth"",""fresh rosemary"",""water""]",Skinny Ms,Roasted Cauliflower Soup,"{""course"":[""Soups""]}",Roasted-Cauliflower-Soup-2055082
