_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65deae),"{""sweet"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1500,"[""butter"",""olive oil"",""sliced shallots"",""sugar pea"",""radishes"",""orange juice"",""dill seed"",""fresh dill""]",Smitten Kitchen,Sauteed Radishes and Sugar Snaps with Dill,{},Sauteed-Radishes-and-Sugar-Snaps-with-Dill-1826356
ObjectId(58e5ee19a4e2980ece65df4d),,4,1800,"[""long green beans"",""butter"",""olive oil"",""minced garlic"",""kosher salt"",""black pepper""]",Zen and Spice,Sauteed Garlic Green Beans,"{""course"":[""Side Dishes""]}",Sauteed-Garlic-Green-Beans-1615622
ObjectId(58e5ee1aa4e2980ece65e3a1),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,900,"[""butter"",""mild olive oil"",""crimini mushrooms"",""garlic salt"",""black pepper"",""fresh lemon juice"",""fresh parsley""]",Natasha's Kitchen,Sauteed Mushrooms,"{""course"":[""Side Dishes""]}",Sauteed-Mushrooms-1507412
ObjectId(58e5ee1aa4e2980ece65e56b),"{""sweet"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,,"[""okra"",""olive oil"",""sea salt"",""spices""]",$5 Dinners,Sauteed Okra,{},Sauteed-Okra-1125704
ObjectId(58e5ee1aa4e2980ece65e711),,5,1200,"[""broccoli florets"",""olive oil"",""pinenuts"",""garlic"",""chicken stock"",""grated parmesan cheese"",""salt"",""ground black pepper""]",Kalyn's Kitchen,"Sauteed Broccoli with Garlic, Pine Nuts, and Parmesan","{""course"":[""Side Dishes""]}",Sauteed-broccoli-with-garlic_-pine-nuts_-and-parmesan-309784
ObjectId(58e5ee1aa4e2980ece65effe),,4,900,"[""white vinegar"",""vegetable oil"",""soy sauce"",""brown sugar"",""garlic cloves"",""chili flakes"",""sliced mushrooms""]",Cook with Jack,Sauteed Mushrooms,"{""course"":[""Side Dishes""]}",Sauteed-Mushrooms-1201634
ObjectId(58e5ee1aa4e2980ece65f3e0),,4,300,"[""zucchini"",""olive oil"",""oregano"",""garlic"",""salt"",""pepper""]",Skinnytaste,Sauteed Baby Zucchini,"{""course"":[""Side Dishes""]}",Sauteed-Baby-Zucchini-1585415
ObjectId(58e5ee1aa4e2980ece65f4f6),,4,600,"[""fresh spinach"",""garlic cloves"",""extra-virgin olive oil"",""kosher salt"",""freshly ground black pepper""]",Carrie's Experimental Kitchen,Sauteed Fresh Spinach and Garlic,{},Sauteed-Fresh-Spinach-and-Garlic-1731291
ObjectId(58e5ee1aa4e2980ece65fa91),,4,600,"[""oil"",""garlic cloves"",""ginger"",""baby bok choy"",""water"",""kosher salt"",""sesame seeds""]",Weelicious,Sauteed Baby Bok Choy,"{""course"":[""Side Dishes""]}",Sauteed-Baby-Bok-Choy-2047727
ObjectId(58e5ee1aa4e2980ece65fac3),"{""piquant"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.3333333333333333,""bitter"":0.16666666666666666,""meaty"":0.5}",4,2100,"[""sirloin steak"",""teriyaki sauce"",""light brown sugar"",""olive oil"",""flat leaf parsley"",""garlic"",""red pepper flakes"",""steak seasoning"",""red bell pepper"",""green bell pepper"",""sweet onion"",""black pepper""]",Melissa's Southern Style Kitchen,Sauteed Sirloin Tips With Bell Peppers And Onion,"{""course"":[""Main Dishes""]}",Sauteed-Sirloin-Tips-With-Bell-Peppers-And-Onion-1122012
