_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65dfb2),"{""sweet"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2700,"[""artichokes"",""bay leaf"",""garlic"",""lemon wedges"",""butter""]",Pip and Ebby,Steamed Artichokes,{},Steamed-Artichokes-1573145
ObjectId(58e5ee19a4e2980ece65e24d),,4,1500,"[""butter"",""garlic"",""dry white wine"",""clams"",""fresh parsley"",""lemon""]",Savory Sweet Life,Steamed Clams in White Wine,{},Steamed-Clams-in-White-Wine-1002323
ObjectId(58e5ee1aa4e2980ece65fa72),,4,5100,"[""artichokes"",""fresh lemon"",""clove"",""garlic"",""sea salt"",""butter""]",Tried and Tasty,Steamed Artichoke,{},Steamed-Artichoke-1059600
ObjectId(58e5ee1aa4e2980ece65fc41),,3,1200,"[""broccoli florets"",""baby carrots"",""sugar pea"",""water"",""unsalted butter"",""minced garlic"",""salt"",""black pepper""]",Life Tastes Good,Steamed Vegetables with Garlic Butter,"{""course"":[""Side Dishes""]}",Steamed-Vegetables-with-Garlic-Butter-1254290
ObjectId(58e5ee1aa4e2980ece66094d),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,1500,"[""broccoli"",""minced garlic"",""salt"",""olive oil""]",What's That Smell?,Steamed Broccoli and Carrots with Garlic and Olive Oil #MakeYourMove,"{""course"":[""Side Dishes""]}",Steamed-Broccoli-and-Carrots-with-Garlic-and-Olive-Oil-_MakeYourMove-1215167
ObjectId(58e5ee1aa4e2980ece6611ea),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.0,""bitter"":0.6666666666666666,""meaty"":0.5}",4,960,"[""water"",""crab leg""]",Sahifa,Steamed Snow Crab Legs,"{""course"":[""Beverages""]}",Steamed-Snow-Crab-Legs-1229647
ObjectId(58e5ee1aa4e2980ece6616e0),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.3333333333333333,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.3333333333333333}",4,1800,"[""salmon"",""extra-virgin olive oil"",""onions"",""garlic cloves"",""cannellini beans"",""cherry tomatoes"",""salt"",""pepper"",""white wine"",""vegetable broth"",""lemon""]",Keys to the Cucina,Steamed Salmon with Cannellini Beans and Tomatoes,"{""course"":[""Main Dishes""]}",Steamed-Salmon-with-Cannellini-Beans-and-Tomatoes-1041752
ObjectId(58e5ee1aa4e2980ece661921),"{""piquant"":0.0,""sour"":0.5,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,2100,"[""littleneck clams"",""olive oil"",""garlic"",""unsalted butter"",""fresh herbs"",""white wine"",""water""]",Skinnytaste,Steamed Clams with Fresh Basil,"{""course"":[""Main Dishes""]}",Steamed-Clams-with-Fresh-Basil-1589106
ObjectId(58e5ee1aa4e2980ece662770),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.5,""bitter"":0.3333333333333333,""meaty"":0.3333333333333333}",4,5100,"[""milk"",""sugar"",""active dry yeast"",""cake flour"",""bread flour"",""baking powder"",""vegetable oil"",""ground pork"",""yellow onion"",""mushrooms"",""oyster sauce"",""sesame oil"",""salt"",""ground black pepper"",""corn starch"",""sausage links"",""large eggs"",""cupcakes"",""white vinegar""]",Run Away Rice,Steamed Pork Buns (Banh Bao),"{""course"":[""Lunch""]}",Steamed-Pork-Buns-_Banh-Bao_-2049264
ObjectId(58e5ee1ba4e2980ece662c15),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",3,720,"[""eggs"",""water"",""salt"",""scallions""]",Korean Food,Steamed Egg Recipe (Gaeran Jim),{},Steamed-Egg-Recipe-_Gaeran-Jim_-1126889
ObjectId(58e5ee1ba4e2980ece662fa9),,4,600,"[""broccoli"",""extra-virgin olive oil"",""lemon"",""sea salt"",""cracked black pepper"",""feta cheese""]",Kiwi & Bean,Steamed Broccoli for Broccoli Haters,"{""course"":[""Side Dishes""]}",Steamed-Broccoli-for-Broccoli-Haters-1066019
ObjectId(58e5ee1ba4e2980ece663170),,4,600,"[""broccoli"",""extra-virgin olive oil"",""lemon"",""sea salt"",""cracked black pepper"",""feta cheese""]",Kiwi & Bean,Steamed Broccoli for Broccoli Haters,"{""course"":[""Side Dishes""]}",Steamed-Broccoli-for-Broccoli-Haters-1066019
ObjectId(58e5ee1ba4e2980ece66444e),"{""piquant"":0.0,""sour"":0.5,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",4,1200,"[""asparagus"",""large eggs"",""kosher salt"",""pepper"",""parmigiano reggiano cheese""]",Skinnytaste,Steamed Asparagus with Poached Eggs,"{""course"":[""Breakfast and Brunch"",""Side Dishes""]}",Steamed-Asparagus-with-Poached-Eggs-1571459
ObjectId(58e5ee1ba4e2980ece6646c9),,3,900,"[""fresh veget"",""water"",""Land O Lakes® Butter"",""herbs"",""salt"",""pepper""]",Land O'Lakes,Steamed Vegetables With Herb Stir-Ins,"{""course"":[""Side Dishes""]}",Steamed-Vegetables-With-Herb-Stir-Ins-1435306
ObjectId(58e5ee1ba4e2980ece66585d),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,8100,"[""all-purpose flour"",""salt"",""water"",""instant yeast"",""scallions"",""chinese five-spice powder""]",China Sichuan Food,Steamed Scallion Buns-Hua Juan,"{""course"":[""Breads""]}",Steamed-Scallion-Buns-Hua-Juan-1693780
ObjectId(58e5ee1ba4e2980ece6679a4),,4,1200,"[""lemon"",""lemon juice"",""cilantro leaves"",""mayonnaise"",""yoghurt"",""salt"",""ground black pepper""]",Pinch My Salt,Steamed Broccoli with Creamy Cilantro Lemon Dipping Sauce,{},Steamed-Broccoli-with-Creamy-Cilantro-Lemon-Dipping-Sauce-1021292
ObjectId(58e5ee1ba4e2980ece667abb),,4,2400,"[""green onions"",""chinese cabbage"",""small carrots"",""mushrooms"",""garlic cloves"",""soy sauce"",""sweet chili sauce"",""sesame oil"",""wonton wrappers""]",Create Bake Make,Steamed Vegetable Dumplings,"{""course"":[""Appetizers"",""Side Dishes""],""cuisine"":[""Asian"",""Chinese""]}",Steamed-Vegetable-Dumplings-1700350
ObjectId(58e5ee1ca4e2980ece6683b5),"{""sweet"":0.0,""sour"":0.5,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1500,"[""varnish clams"",""unsalted butter"",""water"",""sake"",""mirin"",""salt"",""scallions""]",Rasa Malaysia,Steamed Asari (Manila) Clam,{},Steamed-Asari-_Manila_-Clam-497327
ObjectId(58e5ee1ca4e2980ece6685fa),"{""sweet"":0.16666666666666666,""sour"":0.5,""salty"":0.3333333333333333,""piquant"":0.16666666666666666,""bitter"":0.5,""meaty"":0.16666666666666666}",4,2100,"[""mussels"",""extra-virgin olive oil"",""onions"",""garlic"",""crushed red pepper"",""plum tomatoes"",""dry white wine"",""fresh breadcrumbs"",""fresh parsley""]",My Gourmet Connection,Steamed Mussels Italian-Style,"{""cuisine"":[""Italian""]}",Steamed-Mussels-Italian-Style-1227083
ObjectId(58e5ee1ca4e2980ece668a37),"{""sweet"":0.16666666666666666,""sour"":0.5,""salty"":0.3333333333333333,""piquant"":0.16666666666666666,""bitter"":0.5,""meaty"":0.16666666666666666}",4,2100,"[""mussels"",""extra-virgin olive oil"",""onions"",""garlic"",""crushed red pepper"",""plum tomatoes"",""dry white wine"",""fresh breadcrumbs"",""fresh parsley""]",My Gourmet Connection,Steamed Mussels Italian-Style,"{""cuisine"":[""Italian""]}",Steamed-Mussels-Italian-Style-1227083
ObjectId(58e5ee1ca4e2980ece668f61),,4,1800,"[""fillets"",""ginger"",""salt"",""freshly ground black pepper"",""light soy sauce"",""water"",""brown sugar"",""oyster sauce"",""sesame oil"",""fried garlic"",""spring onions""]",Ang Sarap,Steamed Cream Dory in Light Soy Sauce,"{""course"":[""Main Dishes""]}",Steamed-Cream-Dory-in-Light-Soy-Sauce-748739
ObjectId(58e5ee1ca4e2980ece6691d9),,4,1800,"[""fillets"",""ginger"",""salt"",""freshly ground black pepper"",""light soy sauce"",""water"",""brown sugar"",""oyster sauce"",""sesame oil"",""fried garlic"",""spring onions""]",Ang Sarap,Steamed Cream Dory in Light Soy Sauce,"{""course"":[""Main Dishes""]}",Steamed-Cream-Dory-in-Light-Soy-Sauce-748739
ObjectId(58e5ee1ca4e2980ece669604),,4,1200,"[""soft-shell clams"",""unsalted butter"",""lemon""]",My Gourmet Connection,"Steamer Clams, New England Style",{},Steamer-Clams_-New-England-Style-1226996
ObjectId(58e5ee1ca4e2980ece66ab8e),"{""piquant"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2400,"[""Japanese yam"",""chopped cilantro"",""fresh lime juice"",""toasted sesame oil"",""curry powder"",""salt""]",Fake Food Free,Steamed Japanese Yams with Curry and Lime,"{""course"":[""Side Dishes""]}",Steamed-Japanese-Yams-with-Curry-and-Lime-1249467
ObjectId(58e5ee1ca4e2980ece66ae38),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.0,""sweet"":0.3333333333333333,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",3,4500,"[""yeast"",""water"",""flour"",""sugar"",""crisco"",""boiling water"",""oil""]",Chinese Food About.com,Steamed Bun Dough,"{""course"":[""Breads""],""cuisine"":[""Chinese""]}",Steamed-Bun-Dough-985620
ObjectId(58e5ee1ca4e2980ece66af97),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.5,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",3,300,"[""low-fat milk"",""vanilla extract"",""hazelnuts"",""brown sugar""]",Blendtec,Steamed Milk,"{""course"":[""Beverages""]}",Steamed-Milk-988045
ObjectId(58e5ee1ca4e2980ece66b7b5),,5,1500,"[""steamer"",""shallots"",""unsalted butter"",""beer"",""parsley leaves"",""salt""]",Epicurious,Steamers in Beer,{},Steamers-In-Beer-Epicurious
ObjectId(58e5ee1ca4e2980ece66bc83),,3,1200,"[""butter"",""garlic"",""grate lime peel"",""serrano"",""salt"",""fresh lime juice"",""fresh veget""]",Betty Crocker,Steamed Vegetables with Chile-Lime Butter,"{""course"":[""Side Dishes""]}",Steamed-Vegetables-with-Chile-Lime-Butter-1702676
ObjectId(58e5ee1ca4e2980ece66c72b),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,780,"[""crab leg"",""water""]",My Style Recipe,Steamed Snow Crab Legs,"{""course"":[""Beverages""]}",Steamed-Snow-Crab-Legs-1316663
ObjectId(58e5ee1da4e2980ece66d361),"{""sweet"":0.3333333333333333,""sour"":0.16666666666666666,""salty"":0.0,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,4980,"[""all-purpose flour"",""warm water"",""instant yeast"",""sugar""]",Mom's Food Blog,Steamed Bao Bun Dough,"{""course"":[""Breads""]}",Steamed-Bao-Bun-Dough-1502631
ObjectId(58e5ee1da4e2980ece66d83d),"{""piquant"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.3333333333333333,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.16666666666666666}",4,1800,"[""mussels"",""onions"",""red pepper flakes"",""garlic cloves"",""diced tomatoes"",""white wine"",""kalamata"",""salt"",""black pepper"",""chopped parsley"",""lemon wedges""]",Life Made Sweeter,Steamed Mediterranean PEI Mussels *,"{""course"":[""Main Dishes""],""cuisine"":[""Mediterranean""]}",Steamed-Mediterranean-PEI-Mussels-_-2048547
ObjectId(58e5ee1da4e2980ece66da73),"{""sweet"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.5,""meaty"":0.16666666666666666}",4,1500,"[""butter"",""minced garlic"",""dry white wine"",""littleneck clams"",""fresh parsley"",""corn-on-the-cob""]","All Things Food, Cooking with Mary and Friends",Steamed Clams in White Wine,{},Steamed-Clams-in-White-Wine-1220709
ObjectId(58e5ee1da4e2980ece66db8e),"{""sweet"":0.0,""sour"":0.0,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",5,600,"[""sea salt"",""lobster tails"",""butter""]",AllRecipes,Steamed Lobster Tails,{},Steamed-Lobster-Tails-Allrecipes
ObjectId(58e5ee1da4e2980ece66ddcc),,3,3300,"[""artichokes"",""ground black pepper"",""kosher salt"",""lemon"",""unsalted butter"",""garlic cloves""]",Bon Appétit,Steamed Artichokes with Garlic Butter,"{""course"":[""Side Dishes""]}",Steamed-Artichokes-with-Garlic-Butter-1016696
ObjectId(58e5ee1da4e2980ece66efa0),"{""sweet"":0.5,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,3300,"[""flour"",""corn flour"",""salt"",""sugar"",""water"",""fat"",""yeast""]",Singapore Food,Steamed Dumplings or Pau (?),"{""course"":[""Breads""]}",Steamed-Dumplings-or-Pau-___-1931708
ObjectId(58e5ee1da4e2980ece670326),"{""piquant"":0.8333333333333334,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.8333333333333334}",5,1200,"[""ground chuck"",""worcestershire sauce"",""salt"",""pepper"",""shredded cheddar cheese"",""hamburger buns"",""condiments""]",Framed Cooks,Steamed Cheeseburgers,"{""course"":[""Main Dishes"",""Lunch""]}",Steamed-cheeseburgers-369086
ObjectId(58e5ee1da4e2980ece670579),"{""piquant"":0.0,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.3333333333333333}",4,1800,"[""red snapper"",""salt"",""scallions"",""soy sauce"",""dry sherry"",""ginger"",""sesame oil"",""canola oil""]",Panlasang Pinoy,Steamed Fish with Scallions and Ginger,"{""course"":[""Main Dishes""]}",Steamed-Fish-with-Scallions-and-Ginger-1221589
ObjectId(58e5ee1da4e2980ece6707f3),"{""sweet"":0.6666666666666666,""sour"":0.0,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,4200,"[""rice flour"",""sugar"",""water"",""instant yeast"",""warm water"",""baking powder"",""oil""]",China Sichuan Food,Steamed Rice Cake,"{""course"":[""Desserts""]}",Steamed-Rice-Cake-1095083
ObjectId(58e5ee1da4e2980ece670c13),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.3333333333333333,""sweet"":0.6666666666666666,""bitter"":0.3333333333333333,""meaty"":0.5}",4,3600,"[""eggs"",""egg yolks"",""sweetener"",""unsweetened coconut milk"",""ground cinnamon"",""salt""]",Diet Plan 101,Steamed Cinnamon Coconut Milk Egg Custard (for Atkins Diet Phase 1),"{""course"":[""Desserts"",""Breakfast and Brunch""]}",Steamed-Cinnamon-Coconut-Milk-Egg-Custard-_for-Atkins-Diet-Phase-1_-757082
ObjectId(58e5ee1da4e2980ece671013),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,1800,"[""soy sauce"",""ginger"",""water"",""sesame oil"",""ground turkey"",""zucchini"",""canola oil"",""wonton wrappers""]",That Girl Shannon,Steamed Asian Dumplings,"{""cuisine"":[""Asian""]}",Steamed-Asian-Dumplings-1276967
ObjectId(58e5ee1da4e2980ece6710a2),,4,900,"[""coconut milk"",""coconut"",""self raising flour"",""salt"",""water"",""steamer"",""muffin""]",Tlt The little Things,Steamed Coconut Buns,"{""course"":[""Breads""]}",Steamed-Coconut-Buns-1507896
ObjectId(58e5ee1da4e2980ece6720c1),,3,1800,"[""yukon gold potatoes"",""unsalted butter"",""fresh herbs"",""flat leaf parsley"",""savory"",""thyme"",""salt""]",Williams-Sonoma,Steamed Potatoes with Butter and Herbs,"{""course"":[""Side Dishes""]}",Steamed-Potatoes-with-Butter-and-Herbs-460243
